Year,Area,Description,Notes
2019,Basement,new Goodman 60KBTU 96% 2-Stage Multi-Speed ECM Furnace installed,"Goodman Model: GMEC960603BN, Serial:1909112345zz"
2019,Basement,new State 40gal NG Powervent Water Heater installed,
2019,Basement,"removed all old duct system, installed new duct system.",
2019,Exterior,Added gutter guards to gutters. ,Leaf Relief by PlyGem
2019,Living Room,repainted walls (Benjamin Moore Regal Select Buttered Yam),
2019,Living Room,"refinished wainscoting, stair pillars",
2019,Three Room Addition/gym,repainted walls (Benjamin Moore Regal Select Rocky Mountain Sky),
2019,Three Room Addition/gym,took down wall,
2019,Three Room Addition/gym,"¾ inch, 3x4 foot, rubber tiles, glacier color",Rubber Flooring Inc.
2019,Three Room Addition/gym,replaced all overhead lights,
2020,Living room,replaced overhead fan,
2020,Dining Room,replaced overhead light,
2020,Side Bedroom,replaced overhead light with light/fan,
2020,Side Bedroom,painted walls and ceiling (Benjamin Moore Regal Select Mysterious),
2020,Dining Room,painted walls and ceiling (Benjamin Moore Regal Select Caliente),
2020,Dining Room,installed floating shelf on wall,
2020,Landscaping,"Stonework: circular flower beds rebuilt, wall behind shed repaired",
2021,Dining Room,Finished office furnishing,
2021,Dining Room,deadbolt added to interior basement door under stairs,
2021,Bathroom/Laundry,cleaned dryer vent replaced with new duct,
2021,Exterior,"New underlaminate and roofing (rolled and shingles) on: front porch, main structure, master bedroom/kitchen addition. ",
2021,Exterior,"Repaired and replaced soffits, fascia and cove molding.",
2021,Exterior,Redecked roof of master bedroom/kitchen addition. ,
2021,Exterior,"New flashing around chimney, and removal of 6 courses of block chimney in NE corner, capped.",
2021,Exterior,Gutters now attached to fascia (was in roof) and new Leaf Relief guards added.,
2021,Exterior,Front steps replaced and painted white.,
2021,Exterior,"Stone flower bed on east side of house damaged during roof work, repaired.",
2022,Master Bedroom,Replaced window that looks out toward Dalebrook.,
2022,Middle Bedroom,Replaced window facing hill.,
2022,Living Room,"Removed hardwired smoke detector, replace with multiple smoke, gas, CO detectors throughout the house.",
2022,Exterior,7 motions lights at doorways and corners of house.,
